Id,PID,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,SalePrice,Age,Location,RoadRail,Amenities,Garage,Exter Overall,Bsmt Overall,Garage Overall,Kitchen Overall,Fireplace Overall,Pool Overall,Bath AbvGrd,Multi Bsmt Type,Total FinBsmt SF
1044,527451290,160,RM,21.0,1680.0,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,232.0,3,3,CBlock,3,3,1,5,387.0,1,0.0,96.0,483.0,GasA,3,1,SBrkr,483.0,504.0,0.0,987.0,0,0,1,1,2,1,3,4,8,0,0,6,1971,3,1,264.0,3,3,Y,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,7,2008,COD,85400.0,50,2,0,0,1,9,9,9,3,0,0.0,1,5,387.0
2752,906380150,20,RL,64.0,7488.0,Pave,0,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,3,6,393.0,1,0.0,815.0,1208.0,GasA,5,1,SBrkr,1208.0,0.0,0.0,1208.0,0,0,2,0,2,1,4,6,8,0,0,2,2005,2,2,632.0,3,3,Y,105.0,58.0,0.0,0.0,0.0,0.0,0,0,0,0.0,2,2006,WD ,183600.0,16,3,0,0,1,12,12,9,4,0,0.0,0,6,393.0
807,906226060,70,RL,120.0,26400.0,Pave,0,Reg,Bnk,AllPub,FR2,Gtl,SawyerW,Feedr,Norm,1Fam,2Story,5,7,1880,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,4,3,PConc,0,0,0,0,0.0,0,0.0,0.0,0.0,GasA,5,1,SBrkr,1288.0,728.0,0.0,2016.0,0,0,1,0,4,1,3,7,5,1,3,2,1900,3,2,576.0,3,3,P,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,6,2009,WD ,131000.0,14,2,1,0,1,12,0,9,3,3,0.0,0,0,0.0
1177,533236070,160,FV,24.0,2645.0,Pave,2,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,8,5,1999,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,456.0,4,3,PConc,4,3,1,6,813.0,1,0.0,147.0,960.0,GasA,5,1,SBrkr,962.0,645.0,0.0,1607.0,1,0,2,1,3,1,4,7,8,0,0,6,2000,3,2,480.0,3,3,Y,169.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,12,2008,ConLD,200000.0,21,4,0,0,1,12,12,9,4,0,0.0,2,6,813.0
1480,907418040,20,RL,74.0,9627.0,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,3,6,24.0,1,0.0,1327.0,1351.0,GasA,5,1,SBrkr,1361.0,0.0,0.0,1361.0,0,0,2,0,3,1,4,6,8,0,0,2,2007,2,2,610.0,3,3,Y,0.0,50.0,0.0,0.0,0.0,0.0,0,0,0,0.0,6,2008,WD ,193000.0,14,3,0,0,1,12,12,9,4,0,0.0,0,6,24.0
324,923202105,20,RL,93.0,10114.0,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,5,3,3,1,0.0,1,0.0,1430.0,1430.0,GasA,5,1,SBrkr,1430.0,0.0,0.0,1430.0,0,0,2,0,3,1,4,7,8,0,0,2,2004,2,2,624.0,3,3,Y,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,3,2010,WD ,173500.0,16,1,0,0,1,9,15,9,4,0,0.0,0,1,0.0
1311,902301140,70,RM,34.0,4571.0,Pave,1,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,5,5,1916,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,3,3,BrkTil,3,3,1,1,0.0,1,0.0,624.0,624.0,GasA,2,0,SBrkr,624.0,720.0,0.0,1344.0,0,0,1,0,4,1,3,7,8,0,0,6,1916,3,3,513.0,2,2,Y,0.0,0.0,96.0,0.0,0.0,0.0,0,0,0,0.0,5,2008,COD,98000.0,71,1,0,0,1,9,9,4,3,0,0.0,0,1,0.0
770,905101490,20,RL,80.0,8816.0,Pave,0,Reg,Lvl,AllPub,Corner,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,5,6,1963,1963,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,3,3,1,3,651.0,1,0.0,470.0,1121.0,GasA,3,1,SBrkr,1121.0,0.0,0.0,1121.0,1,0,1,0,3,1,3,5,8,0,0,6,1963,3,2,480.0,3,3,Y,0.0,80.0,0.0,0.0,0.0,0.0,0,2,0,0.0,6,2009,WD ,139000.0,58,2,1,0,1,9,9,9,3,0,0.0,0,3,651.0
2063,905107140,20,RL,71.0,8197.0,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,6,5,1977,1977,Gable,CompShg,Plywood,Plywood,BrkFace,148.0,3,3,CBlock,3,3,1,1,0.0,1,0.0,660.0,660.0,GasA,5,1,SBrkr,1285.0,0.0,0.0,1285.0,0,0,1,1,3,1,3,7,8,1,3,2,1977,2,2,528.0,3,3,Y,138.0,0.0,0.0,0.0,0.0,0.0,0,2,0,0.0,4,2007,WD ,143500.0,44,2,0,0,1,9,9,9,3,3,0.0,1,1,0.0
69,528458070,60,FV,72.0,8640.0,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,2,6,24.0,1,0.0,732.0,756.0,GasA,5,1,SBrkr,764.0,783.0,0.0,1547.0,0,0,2,1,3,1,4,7,8,0,0,2,2009,3,2,614.0,3,3,Y,169.0,45.0,0.0,0.0,0.0,0.0,0,0,0,0.0,6,2010,Con,215200.0,12,2,0,0,1,9,12,9,4,0,0.0,2,6,24.0
2062,905106150,20,RL,109.0,8724.0,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1968,1968,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,4,3,1,4,492.0,1,0.0,402.0,894.0,GasA,4,1,SBrkr,894.0,0.0,0.0,894.0,0,0,1,0,3,1,3,5,8,1,1,2,1968,1,2,450.0,3,3,Y,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,5,2007,WD ,129000.0,53,1,0,0,1,9,12,9,3,1,0.0,0,4,492.0
351,527131030,120,RL,40.0,5664.0,Pave,0,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2000,2000,Gable,CompShg,CemntBd,CmentBd,None,0.0,4,3,PConc,4,3,1,6,1158.0,1,0.0,343.0,1501.0,GasA,5,1,SBrkr,1659.0,0.0,0.0,1659.0,1,0,2,0,2,1,5,5,8,1,5,2,2000,1,2,499.0,3,3,Y,212.0,59.0,0.0,0.0,0.0,0.0,0,0,0,0.0,10,2009,WD ,278000.0,21,4,0,0,1,12,12,9,5,5,0.0,0,6,1158.0
2393,528142010,60,RL,103.0,12867.0,Pave,0,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,CemntBd,CmentBd,,0.0,4,3,PConc,5,3,3,1,0.0,1,0.0,1209.0,1209.0,GasA,5,1,SBrkr,1209.0,1044.0,0.0,2253.0,0,0,2,1,3,1,5,8,8,1,4,2,2005,1,2,575.0,3,3,Y,243.0,142.0,0.0,0.0,0.0,0.0,0,0,0,0.0,7,2006,New,344133.0,15,4,0,0,1,12,15,9,5,4,0.0,2,1,0.0
12,527165230,20,RL,68.0,7980.0,Pave,0,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,7,1992,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,4,PConc,4,3,1,5,935.0,1,0.0,233.0,1168.0,GasA,5,1,SBrkr,1187.0,0.0,0.0,1187.0,1,0,2,0,3,1,3,6,8,0,0,2,1992,1,2,420.0,3,3,Y,483.0,21.0,0.0,0.0,0.0,0.0,0,1,4,500.0,3,2010,WD ,185000.0,14,4,0,0,1,12,12,9,3,0,0.0,0,5,935.0
2339,527250040,190,RL,100.0,34650.0,Pave,0,Reg,Bnk,AllPub,Inside,Gtl,Gilbert,Norm,Norm,2fmCon,1Story,5,5,1955,1955,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,2,3,1056.0,1,0.0,0.0,1056.0,GasA,3,0,SBrkr,1056.0,0.0,0.0,1056.0,1,0,1,0,3,1,3,5,8,0,0,2,1955,1,2,572.0,3,3,Y,264.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,1,2006,WD ,145000.0,66,1,0,0,1,9,9,9,3,0,0.0,0,3,1056.0
624,535104120,20,RL,92.0,10573.0,Pave,0,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1961,1961,Hip,CompShg,MetalSd,MetalSd,BrkFace,3.0,3,3,CBlock,3,3,1,3,1312.0,1,0.0,141.0,1453.0,GasA,5,1,SBrkr,1453.0,0.0,0.0,1453.0,1,0,2,0,3,1,3,6,8,1,3,2,1961,2,2,530.0,3,3,Y,0.0,49.0,0.0,0.0,288.0,0.0,0,1,0,0.0,4,2009,WD ,187500.0,60,2,0,0,1,9,9,9,3,3,0.0,0,3,1312.0
86,532376160,20,RL,65.0,8450.0,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,RRAe,Norm,1Fam,1Story,5,8,1965,2009,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,4,CBlock,3,3,1,6,553.0,4,117.0,224.0,894.0,GasA,5,1,SBrkr,894.0,0.0,0.0,894.0,1,0,1,0,3,1,3,5,8,1,4,6,1973,3,1,336.0,3,3,Y,416.0,144.0,0.0,0.0,0.0,0.0,0,2,0,0.0,4,2010,WD ,138500.0,12,4,1,0,1,12,9,9,3,4,0.0,0,24,670.0
1534,909277040,50,RL,68.0,11700.0,Pave,1,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,1.5Fin,5,6,1937,1995,Gable,CompShg,WdShing,Wd Shng,None,0.0,3,3,CBlock,3,3,1,4,606.0,1,0.0,336.0,942.0,GasA,5,1,SBrkr,1265.0,673.0,0.0,1938.0,0,0,2,0,4,1,4,7,6,1,4,6,1937,3,1,240.0,3,3,Y,0.0,40.0,0.0,0.0,0.0,0.0,0,0,0,0.0,7,2008,WD ,198000.0,26,1,0,0,1,9,9,9,4,4,0.0,0,4,606.0
2243,911103060,190,C (all),75.0,8250.0,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,2fmCon,2Story,5,6,1895,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,3,3,1,1,0.0,1,0.0,957.0,957.0,GasA,2,0,SBrkr,1034.0,957.0,0.0,1991.0,0,0,2,0,4,2,3,9,8,0,0,0,1980,0,0,0.0,0,0,N,0.0,0.0,133.0,0.0,0.0,0.0,0,0,0,0.0,6,2007,WD ,119600.0,15,3,1,0,0,12,9,0,6,0,0.0,0,1,0.0
1957,535450190,50,RL,60.0,8064.0,Pave,0,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Artery,Norm,1Fam,1.5Fin,5,7,1949,2006,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,4,CBlock,3,3,2,1,0.0,1,0.0,672.0,672.0,GasA,5,1,SBrkr,672.0,252.0,0.0,924.0,0,0,1,0,3,1,3,6,8,1,1,6,2003,3,2,576.0,3,3,Y,0.0,0.0,0.0,0.0,0.0,0.0,0,2,4,2000.0,7,2007,WD ,122900.0,15,3,1,0,1,12,9,9,3,1,0.0,0,1,0.0
380,527355150,20,RL,80.0,9600.0,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,PosN,Norm,1Fam,1Story,8,5,1981,1981,Hip,WdShngl,BrkFace,BrkFace,None,0.0,4,3,PConc,4,3,1,5,1104.0,1,0.0,1420.0,2524.0,GasA,3,1,SBrkr,2524.0,0.0,0.0,2524.0,1,0,2,1,4,1,4,9,8,1,4,2,1981,1,2,542.0,3,3,Y,474.0,120.0,0.0,0.0,0.0,0.0,0,2,0,0.0,7,2009,WD ,278000.0,40,4,0,1,1,12,12,9,4,4,0.0,2,5,1104.0
2860,909276010,70,RL,68.0,11435.0,Pave,0,IR1,HLS,AllPub,Corner,Mod,Crawfor,Norm,Norm,1Fam,2Story,8,7,1929,1950,Gable,CompShg,BrkFace,Stucco,None,0.0,3,3,PConc,4,3,1,1,0.0,1,0.0,792.0,792.0,GasA,2,1,SBrkr,792.0,725.0,0.0,1517.0,0,0,1,0,3,1,4,7,8,2,4,6,1931,3,2,400.0,3,3,Y,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,6,2006,WD ,230000.0,71,4,0,0,1,9,12,9,4,8,0.0,0,1,0.0
2517,533250130,120,RL,30.0,9549.0,Pave,0,IR1,Lvl,AllPub,CulDSac,Gtl,Veenker,Norm,Norm,TwnhsE,1Story,8,5,1995,1996,Hip,CompShg,BrkFace,BrkFace,None,0.0,4,4,PConc,4,4,3,2,437.0,6,1057.0,0.0,1494.0,GasA,5,1,SBrkr,1494.0,0.0,0.0,1494.0,1,0,1,1,2,1,5,6,8,1,4,2,1995,1,2,481.0,3,3,Y,0.0,30.0,0.0,0.0,216.0,0.0,0,0,0,0.0,4,2006,WD ,270000.0,25,4,0,0,1,16,16,9,5,4,0.0,1,12,1494.0
1933,535302070,20,RL,60.0,10950.0,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1952,1952,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,1,5,441.0,1,0.0,507.0,948.0,GasA,3,1,SBrkr,948.0,0.0,0.0,948.0,0,0,1,0,2,1,3,5,8,0,0,6,1952,3,2,410.0,3,3,N,0.0,48.0,0.0,0.0,0.0,0.0,0,0,0,0.0,4,2007,WD ,125000.0,69,2,0,0,1,9,9,9,3,0,0.0,0,5,441.0
820,906340110,20,RL,79.0,10637.0,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2008,Hip,CompShg,VinylSd,VinylSd,Stone,336.0,4,3,PConc,5,3,4,6,1288.0,1,0.0,417.0,1705.0,GasA,5,1,SBrkr,1718.0,0.0,0.0,1718.0,1,0,2,0,3,1,4,7,8,1,4,2,2007,2,3,826.0,3,3,Y,208.0,44.0,0.0,0.0,0.0,0.0,0,0,0,0.0,9,2009,WD ,297000.0,13,4,0,0,1,12,15,9,4,4,0.0,0,6,1288.0
675,535426150,20,RL,80.0,9000.0,Pave,0,IR1,HLS,AllPub,Inside,Mod,NAmes,Norm,Norm,1Fam,1Story,6,6,1958,1958,Flat,Tar&Grv,Wd Sdng,Wd Sdng,BrkFace,82.0,3,3,CBlock,4,3,4,1,0.0,1,0.0,160.0,160.0,GasA,2,1,SBrkr,1142.0,0.0,0.0,1142.0,0,0,1,0,2,1,3,5,8,1,4,3,1958,2,1,384.0,3,3,Y,0.0,28.0,64.0,0.0,0.0,0.0,0,0,0,0.0,4,2009,WD ,113500.0,63,2,0,0,1,9,12,9,3,4,0.0,0,1,0.0
2910,923225240,160,RM,41.0,2665.0,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,2Story,5,6,1977,1977,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,3,PConc,3,3,1,5,548.0,3,173.0,36.0,757.0,GasA,5,1,SBrkr,925.0,550.0,0.0,1475.0,0,0,2,0,4,1,3,6,8,1,3,2,1977,2,1,336.0,3,3,Y,104.0,26.0,0.0,0.0,0.0,0.0,0,0,0,0.0,7,2006,WD ,127000.0,44,2,0,0,1,9,9,9,3,3,0.0,0,15,721.0
21,527358140,20,RL,105.0,11751.0,Pave,0,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6,1977,1977,Hip,CompShg,Plywood,Plywood,BrkFace,480.0,3,3,CBlock,4,3,1,4,705.0,1,0.0,1139.0,1844.0,GasA,5,1,SBrkr,1844.0,0.0,0.0,1844.0,0,0,2,0,3,1,3,7,8,1,3,2,1977,2,2,546.0,3,3,Y,0.0,122.0,0.0,0.0,0.0,0.0,0,2,0,0.0,1,2010,COD,190000.0,44,2,0,0,1,9,12,9,3,3,0.0,0,4,705.0
1873,534177210,20,RL,80.0,9600.0,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,7,6,1973,1973,Hip,CompShg,HdBoard,HdBoard,BrkFace,320.0,3,3,CBlock,3,3,1,5,916.0,1,0.0,326.0,1242.0,GasA,2,1,SBrkr,1242.0,0.0,0.0,1242.0,0,0,1,1,3,1,3,6,8,1,3,2,1973,3,2,528.0,3,3,Y,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,9,2007,WD ,175500.0,48,3,0,0,1,9,9,9,3,3,0.0,1,5,916.0
2125,907135050,20,RL,60.0,8428.0,Pave,0,IR2,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,7,1994,1994,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,PConc,4,4,1,6,420.0,1,0.0,570.0,990.0,GasA,5,1,SBrkr,990.0,0.0,0.0,990.0,1,0,1,0,3,1,3,5,8,0,0,6,1995,3,1,384.0,3,3,Y,256.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,7,2007,WD ,146000.0,27,3,0,0,1,12,16,9,3,0,0.0,0,6,420.0
1489,908102260,20,RL,75.0,9937.0,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,6,1965,1965,Gable,CompShg,HdBoard,HdBoard,None,0.0,4,3,CBlock,3,3,1,4,830.0,2,290.0,136.0,1256.0,GasA,4,1,SBrkr,1256.0,0.0,0.0,1256.0,1,0,1,1,3,1,3,6,8,0,0,2,1965,1,1,276.0,3,3,Y,736.0,68.0,0.0,0.0,0.0,0.0,0,0,0,0.0,6,2008,WD ,147500.0,56,3,0,0,1,12,9,9,3,0,0.0,1,8,1120.0
2383,528110050,20,RL,107.0,13891.0,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,10,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,,0.0,5,3,PConc,5,4,4,6,1386.0,1,0.0,690.0,2076.0,GasA,5,1,SBrkr,2076.0,0.0,0.0,2076.0,1,0,2,1,2,1,5,7,8,1,4,2,2006,1,3,850.0,3,3,Y,216.0,229.0,0.0,0.0,0.0,0.0,0,0,0,0.0,9,2006,New,465000.0,15,4,0,0,1,15,20,9,5,4,0.0,2,6,1386.0
