Lot Area,Overall Qual,Gr Liv Area,Full Bath,Bedroom AbvGr,Kitchen Qual,Age,Location,RoadRail,Exter Overall,Bsmt Overall,Garage Overall,Kitchen Overall,Fireplace Overall,Bath AbvGrd,Multi Bsmt Type,Total FinBsmt SF
10637.0,8,1718.0,2,3,4,13,4,0,12,15,9,4,4,0,6,1288.0
9000.0,6,1142.0,1,2,3,63,2,0,9,12,9,3,4,0,1,0.0
2665.0,5,1475.0,2,4,3,44,2,0,9,9,9,3,3,0,15,721.0
11751.0,6,1844.0,2,3,3,44,2,0,9,12,9,3,3,0,4,705.0
9600.0,7,1242.0,1,3,3,48,3,0,9,9,9,3,3,1,5,916.0
8428.0,5,990.0,1,3,3,27,3,0,12,16,9,3,0,0,6,420.0
9937.0,5,1256.0,1,3,3,56,3,0,12,9,9,3,0,1,8,1120.0
13891.0,10,2076.0,2,2,5,15,4,0,15,20,9,5,4,2,6,1386.0
9101.0,5,1110.0,1,1,4,43,3,0,12,12,9,4,3,0,6,1097.0
12150.0,5,1795.0,2,4,3,67,1,0,9,9,6,3,0,0,1,0.0
11200.0,5,1040.0,1,3,3,56,1,0,9,9,9,3,0,0,3,906.0
9670.0,8,1873.0,1,4,3,71,3,0,9,6,6,3,8,1,2,210.0
10998.0,5,1604.0,2,3,3,61,1,0,9,9,9,3,0,0,8,828.0
7200.0,7,1502.0,1,3,3,21,2,0,6,12,9,3,4,1,1,0.0
9920.0,5,1063.0,1,3,3,67,1,0,9,9,9,3,0,0,6,644.0
2448.0,7,1626.0,2,2,4,17,3,0,12,12,9,4,0,2,1,0.0
2998.0,6,1524.0,2,2,4,21,3,0,12,12,9,4,0,2,6,353.0
7804.0,4,1981.0,2,4,4,71,1,0,9,9,9,4,6,0,4,622.0
16692.0,7,2784.0,3,5,4,43,2,1,9,12,9,4,6,3,8,1259.0
1476.0,4,1092.0,1,3,3,51,2,0,9,9,0,3,0,1,6,176.0
10170.0,6,1575.0,1,2,4,70,2,0,9,9,9,4,4,1,1,0.0
9364.0,6,1352.0,1,4,3,52,3,0,9,9,9,3,0,1,5,371.0
2544.0,7,1200.0,2,2,4,16,3,0,12,12,9,4,0,2,30,410.0
9888.0,5,936.0,1,2,3,46,3,0,12,9,9,3,0,0,4,486.0
7942.0,6,1040.0,1,3,3,68,3,0,9,9,9,3,0,0,15,1040.0
15038.0,6,1636.0,2,3,3,25,2,0,9,12,9,3,3,2,3,138.0
11764.0,8,2270.0,2,4,4,14,4,0,12,12,9,4,4,2,6,524.0
9000.0,8,2610.0,2,4,5,14,4,0,12,12,9,5,4,2,6,64.0
20062.0,7,1483.0,1,1,3,20,4,0,16,12,9,3,6,1,5,1092.0
7308.0,5,1740.0,1,2,5,71,1,1,4,9,4,5,4,0,3,360.0
8750.0,5,1382.0,1,3,4,66,1,0,9,9,9,4,0,0,6,655.0
8402.0,5,1120.0,1,3,3,14,1,1,9,12,0,3,0,0,5,206.0
4000.0,7,1098.0,1,2,3,26,4,0,9,12,9,3,4,0,6,246.0
3363.0,7,1708.0,2,3,4,17,2,0,12,12,9,4,0,0,1,0.0
13615.0,9,1802.0,2,3,5,15,4,0,15,15,9,5,4,2,1,0.0
3013.0,7,1506.0,2,2,4,16,3,0,12,12,9,4,4,0,6,16.0
17485.0,7,1508.0,1,1,4,11,3,0,12,12,9,4,6,0,6,1346.0
23730.0,7,2032.0,3,3,4,24,3,0,12,15,9,4,0,0,6,700.0
8910.0,6,1194.0,1,3,3,62,2,0,9,9,9,3,2,0,5,655.0
2522.0,7,1709.0,2,3,4,17,2,0,12,12,9,4,0,0,1,0.0
8688.0,7,1616.0,2,3,4,16,3,0,12,12,9,4,0,0,1,0.0
6291.0,6,768.0,1,1,3,71,4,1,16,9,9,3,0,0,1,0.0
17529.0,5,872.0,1,2,2,71,1,0,9,9,4,2,4,0,1,0.0
6324.0,4,520.0,1,1,2,71,1,1,9,9,6,2,0,0,1,0.0
11600.0,5,2274.0,2,5,3,61,1,1,9,9,9,6,0,0,3,443.0
7288.0,5,1601.0,2,3,3,18,4,1,16,3,0,3,0,0,1,0.0
4571.0,5,1232.0,1,3,3,71,2,0,9,9,4,3,0,0,4,168.0
17423.0,9,2234.0,2,1,5,12,4,0,15,15,9,5,4,0,6,1904.0
12665.0,5,1416.0,1,4,3,71,3,1,9,9,9,3,4,1,1,0.0
9000.0,4,864.0,1,3,3,15,3,0,12,9,9,3,0,0,5,240.0
4500.0,6,1189.0,2,2,3,24,2,0,9,15,9,3,0,0,6,864.0
6373.0,9,1666.0,2,2,4,15,4,0,15,20,9,4,4,0,6,415.0
10083.0,7,1200.0,2,2,4,18,3,0,12,12,9,4,0,0,6,833.0
13300.0,5,928.0,1,2,3,21,2,0,9,12,9,3,0,0,3,377.0
9600.0,5,1336.0,2,3,3,52,1,1,9,12,9,3,2,0,15,700.0
3215.0,7,1200.0,2,2,4,17,3,0,12,12,9,4,0,2,6,280.0
11104.0,6,1427.0,2,4,3,52,2,0,9,9,9,3,0,0,6,828.0
15295.0,7,1992.0,2,3,4,19,2,0,12,12,9,4,6,2,6,762.0
9109.0,7,1540.0,2,3,4,27,3,1,12,12,9,4,0,2,12,632.0
7018.0,5,1535.0,2,4,3,42,1,0,9,0,9,6,0,0,0,0.0
14112.0,5,1152.0,1,3,3,57,2,0,9,9,9,3,4,0,6,1014.0
3523.0,8,1151.0,2,2,4,14,4,0,12,12,9,4,0,0,6,60.0
15312.0,6,1138.0,1,3,3,61,2,0,9,9,9,3,3,0,4,588.0
7450.0,5,1074.0,1,2,4,65,1,0,9,9,9,4,4,0,6,644.0
7313.0,9,1561.0,2,2,5,16,4,0,15,15,9,5,4,0,6,1153.0
10019.0,8,2726.0,2,4,4,26,4,0,12,12,9,4,5,2,5,527.0
15401.0,9,1884.0,2,2,5,17,4,0,15,15,9,5,4,0,6,1337.0
9098.0,4,605.0,1,2,3,19,2,0,9,9,0,3,0,0,5,348.0
16280.0,8,1671.0,3,3,5,14,4,0,25,20,9,5,4,0,18,1426.0
9392.0,3,797.0,1,2,3,71,1,0,6,6,0,3,0,0,1,0.0
12209.0,6,1961.0,2,3,4,19,2,0,9,15,9,4,3,2,5,690.0
13110.0,5,1193.0,2,2,3,49,2,1,9,12,9,3,0,0,6,962.0
2651.0,7,1382.0,2,3,4,21,3,0,12,12,9,4,0,2,6,641.0
8520.0,6,2526.0,2,5,4,71,4,1,12,9,9,4,4,0,6,714.0
39384.0,6,1390.0,1,1,5,64,2,0,9,12,9,5,8,1,5,1110.0
2628.0,7,1626.0,2,2,4,18,3,0,12,12,9,4,0,2,1,0.0
6406.0,5,1558.0,1,3,3,71,2,0,9,9,9,3,4,1,5,421.0
12342.0,5,1422.0,1,3,3,43,1,0,9,9,9,3,3,0,1,0.0
6240.0,5,1573.0,2,3,3,29,2,0,9,9,9,3,4,0,1,0.0
10000.0,6,1116.0,1,3,3,59,2,0,9,9,9,3,0,1,1,0.0
9000.0,2,660.0,1,2,2,71,1,0,9,0,0,2,0,0,0,0.0
11088.0,6,1707.0,2,3,3,23,2,0,9,9,9,3,3,0,5,832.0
17755.0,5,1466.0,1,3,2,62,1,0,9,9,9,2,8,1,4,176.0
4765.0,9,1638.0,2,2,5,21,4,0,12,12,9,5,3,0,6,1027.0
10532.0,5,1721.0,2,3,3,61,1,0,9,9,9,3,6,0,3,988.0
15426.0,6,1764.0,2,3,4,24,2,0,9,12,9,4,0,2,6,821.0
13907.0,5,996.0,1,3,3,52,2,0,9,9,0,3,4,0,4,290.0
8750.0,5,1202.0,1,3,3,65,1,0,9,9,9,3,0,0,12,637.0
9945.0,5,988.0,1,3,3,60,1,0,9,9,9,3,0,0,3,827.0
8960.0,5,1028.0,1,2,3,71,2,1,9,9,9,3,4,0,1,0.0
3500.0,5,1284.0,1,2,3,71,2,0,9,9,9,3,0,1,2,312.0
24572.0,9,2944.0,2,3,4,44,4,0,16,12,9,4,4,4,6,410.0
9056.0,8,1414.0,2,3,4,17,4,0,12,20,9,4,4,2,1,0.0
12320.0,7,1609.0,1,3,4,31,3,0,9,9,9,4,8,1,1,0.0
8238.0,6,1525.0,2,3,3,23,2,0,9,9,9,3,3,2,6,700.0
6000.0,5,1656.0,1,3,3,54,1,0,6,12,9,3,1,1,3,257.0
2529.0,7,1055.0,2,2,3,44,3,0,9,12,9,3,0,0,5,378.0
10800.0,5,1352.0,2,4,4,15,3,0,12,9,9,4,0,0,1,0.0
2349.0,6,1456.0,2,3,3,44,2,0,9,12,9,3,3,2,5,389.0
10846.0,8,1719.0,1,1,4,28,4,0,12,12,9,4,8,1,6,1619.0
5604.0,5,864.0,1,2,3,71,2,0,9,9,0,3,0,0,3,468.0
1680.0,6,987.0,1,2,3,48,2,0,9,9,9,3,0,1,2,458.0
6342.0,5,1020.0,1,2,3,25,4,1,12,9,0,3,0,0,1,0.0
4590.0,8,1554.0,2,2,4,15,4,0,12,16,9,4,4,0,6,24.0
18062.0,10,3390.0,3,5,5,15,4,0,15,15,9,5,5,3,1,0.0
12900.0,6,1560.0,1,3,4,12,4,0,16,9,0,4,0,1,1,0.0
19138.0,4,864.0,1,2,3,70,1,0,9,9,9,3,0,0,2,120.0
8658.0,6,1889.0,2,3,3,21,2,0,9,12,9,3,3,2,5,732.0
6897.0,5,1040.0,1,3,3,11,4,0,12,9,9,3,0,1,5,659.0
9525.0,5,1172.0,1,3,3,23,2,0,9,9,9,3,0,0,4,954.0
12853.0,8,1418.0,1,1,4,11,4,0,12,5,9,4,4,1,6,1032.0
6240.0,6,1367.0,1,3,3,71,2,0,9,6,9,3,4,0,2,425.0
7301.0,7,1922.0,3,4,4,18,3,0,12,0,9,4,5,0,0,0.0
12090.0,6,1422.0,2,3,4,40,3,0,12,12,9,4,3,0,12,816.0
8826.0,7,1842.0,2,3,4,21,3,0,12,12,9,4,3,2,6,841.0
8094.0,4,1962.0,1,4,3,71,1,0,6,9,9,3,3,1,1,0.0
10710.0,5,1120.0,1,3,3,17,3,0,12,9,9,3,3,0,4,644.0
16056.0,9,2868.0,3,4,5,15,4,0,12,15,9,5,4,3,6,240.0
8400.0,6,1478.0,1,3,3,64,1,0,9,9,9,3,8,1,15,850.0
11250.0,7,1995.0,2,4,4,25,4,0,16,16,9,4,3,2,6,685.0
7535.0,5,912.0,1,2,3,36,2,0,9,9,9,3,0,0,8,390.0
12216.0,6,1326.0,2,3,4,16,2,0,9,12,9,4,0,0,6,918.0
3701.0,8,1204.0,2,2,3,34,3,0,9,12,9,3,0,0,1,0.0
9760.0,6,1611.0,1,4,3,57,2,0,9,9,9,3,0,1,12,780.0
9873.0,4,960.0,1,3,3,51,1,1,9,9,9,3,0,0,5,789.0
10011.0,5,1236.0,1,2,4,25,2,0,9,9,9,4,2,0,4,360.0
25339.0,5,1416.0,2,3,4,14,3,0,12,9,9,4,0,0,1,0.0
8883.0,7,1873.0,2,3,4,33,3,0,12,12,9,4,3,2,12,929.0
3000.0,5,2128.0,2,4,3,71,1,0,9,6,0,6,0,0,1,0.0
2448.0,7,1626.0,2,2,4,17,3,0,12,12,9,4,0,2,6,573.0
7100.0,5,816.0,1,2,3,64,2,0,9,9,9,3,0,0,6,708.0
2592.0,5,1112.0,1,3,3,45,1,0,9,12,9,3,0,1,12,361.0
5700.0,7,1111.0,1,2,3,71,3,0,9,9,9,3,4,0,1,0.0
2289.0,6,1441.0,2,3,3,43,2,0,9,9,9,3,3,2,5,311.0
12180.0,4,924.0,1,2,2,71,1,0,6,12,9,2,0,0,4,348.0
7400.0,5,1126.0,1,2,3,37,1,0,9,12,9,3,0,0,10,1060.0
8842.0,5,992.0,1,3,3,67,3,0,12,6,9,3,0,0,1,0.0
8850.0,6,1376.0,1,3,4,71,4,0,12,9,9,4,0,0,1,0.0
9215.0,7,1218.0,2,2,4,11,3,0,12,12,9,4,0,0,1,0.0
9480.0,5,1644.0,1,3,4,26,2,1,9,9,9,4,8,1,2,386.0
11880.0,7,1601.0,2,3,3,43,2,1,9,12,9,3,3,0,5,704.0
10800.0,7,2495.0,2,5,3,22,3,0,9,9,6,3,4,0,1,0.0
7861.0,6,1509.0,2,3,4,18,3,0,12,12,9,4,4,2,6,457.0
11616.0,5,1092.0,1,3,3,59,1,0,9,9,9,3,1,0,8,840.0
10542.0,7,2418.0,2,3,4,27,3,0,12,12,9,4,3,2,6,1173.0
1680.0,6,987.0,1,2,3,50,2,0,9,9,9,3,0,1,3,156.0
8546.0,4,1121.0,2,2,3,17,1,0,9,12,9,3,0,0,1,0.0
7407.0,6,1236.0,1,2,3,25,3,1,9,9,9,3,0,0,6,600.0
10140.0,5,1074.0,1,3,3,46,2,0,9,12,9,3,0,1,5,788.0
14584.0,1,733.0,1,2,2,69,1,0,2,0,2,2,0,0,0,0.0
8158.0,7,1768.0,2,3,4,18,3,0,12,12,9,4,0,2,6,550.0
7500.0,7,1266.0,2,3,4,16,3,0,12,12,9,4,3,0,1,0.0
10678.0,8,2872.0,2,4,4,21,4,0,12,12,9,4,3,2,6,700.0
15256.0,8,1464.0,2,3,4,14,4,1,12,12,9,4,0,0,6,929.0
14200.0,7,2157.0,2,4,4,55,3,0,9,9,9,4,8,2,3,445.0
12438.0,8,2576.0,2,4,5,15,4,0,15,20,9,5,4,2,1,0.0
16023.0,9,2798.0,3,3,5,15,4,0,20,15,9,5,4,3,6,1218.0
20064.0,8,1743.0,0,0,4,45,4,0,12,16,9,4,4,0,12,966.0
9819.0,6,1567.0,2,2,4,44,2,0,9,9,9,4,6,0,5,1567.0
10400.0,7,1370.0,2,3,3,45,2,0,9,12,9,3,3,0,1,0.0
11643.0,5,2634.0,2,6,3,52,1,1,9,9,9,6,0,4,2,500.0
11645.0,8,1590.0,2,2,5,15,4,0,12,15,9,5,0,2,6,1122.0
7328.0,7,1450.0,2,2,4,12,3,0,12,12,9,4,0,0,1,0.0
7822.0,6,1338.0,2,3,3,71,1,1,6,4,9,3,0,0,1,0.0
9018.0,7,1456.0,2,3,4,14,3,0,12,12,9,4,4,2,1,0.0
13472.0,10,2392.0,2,3,5,18,4,0,15,15,9,5,5,0,6,56.0
1533.0,4,992.0,1,2,3,51,1,0,9,12,9,3,0,0,6,503.0
11003.0,10,2007.0,2,3,5,13,4,0,15,15,9,5,5,2,6,765.0
10790.0,7,2385.0,2,4,4,23,3,0,12,12,9,4,3,2,1,0.0
7128.0,7,1646.0,2,4,3,71,3,0,12,9,9,3,8,0,3,364.0
7713.0,7,1456.0,2,3,4,14,3,0,12,12,9,4,0,2,1,0.0
6240.0,5,1040.0,1,2,3,41,2,0,9,6,9,3,0,0,3,276.0
22420.0,6,2624.0,2,4,3,71,2,1,9,12,9,3,4,2,4,1128.0
15300.0,5,1264.0,1,2,3,44,1,0,9,9,9,3,3,0,3,42.0
3196.0,7,1557.0,2,2,4,17,3,0,12,12,9,4,3,0,1,0.0
9360.0,6,1287.0,1,2,3,44,3,0,9,12,9,3,4,1,12,957.0
11241.0,6,1004.0,1,2,3,51,3,0,9,9,9,3,3,0,5,578.0
9260.0,7,1162.0,2,3,4,14,3,0,12,12,9,4,0,0,1,0.0
7993.0,7,1436.0,2,3,4,12,3,0,12,15,9,4,0,0,1,0.0
9239.0,5,960.0,1,3,4,18,4,1,12,9,9,4,0,0,6,634.0
10044.0,5,1196.0,1,3,3,53,2,0,9,12,9,3,0,0,5,1070.0
3182.0,8,1269.0,2,2,4,16,4,0,12,12,9,4,3,0,6,24.0
7626.0,5,1031.0,1,2,4,16,4,0,12,9,9,4,0,0,6,931.0
7008.0,4,720.0,1,1,2,23,3,0,12,4,6,2,0,0,1,0.0
12160.0,6,1505.0,1,2,3,68,1,1,9,9,9,3,3,0,4,1024.0
6305.0,5,954.0,1,2,2,71,3,0,12,4,6,2,4,0,1,0.0
8846.0,6,1500.0,2,3,4,15,2,0,9,12,9,4,0,2,1,0.0
10659.0,5,1050.0,1,3,3,60,2,0,9,9,9,3,0,0,3,915.0
13108.0,8,2687.0,2,4,4,27,4,0,12,12,9,4,0,2,1,0.0
13500.0,6,1252.0,1,1,3,46,3,0,9,12,9,3,4,0,20,1509.0
7750.0,7,1430.0,2,3,3,21,2,0,9,12,9,3,3,2,1,0.0
12450.0,5,1114.0,2,3,4,17,1,1,9,12,9,4,0,0,6,836.0
4500.0,6,1224.0,2,2,3,22,2,0,9,15,9,3,0,0,6,883.0
11198.0,9,2504.0,2,4,5,14,4,0,12,16,9,5,4,2,1,0.0
6221.0,5,1355.0,2,3,3,71,1,0,9,6,9,3,0,0,2,533.0
13200.0,6,2294.0,3,5,3,58,2,0,9,9,9,3,4,0,4,375.0
8769.0,9,1702.0,1,1,5,13,4,0,15,15,9,5,4,1,6,1540.0
10200.0,6,1509.0,2,3,4,32,3,0,12,12,9,4,2,0,6,783.0
9550.0,7,1717.0,1,3,4,51,2,0,9,12,9,4,4,0,5,216.0
10331.0,7,1240.0,2,3,4,36,3,0,9,12,9,4,0,0,20,295.0
9587.0,7,1166.0,2,2,4,16,3,0,12,12,9,4,0,0,6,655.0
9900.0,5,1464.0,2,3,3,19,4,0,12,9,0,3,0,0,1,0.0
22002.0,6,1652.0,1,3,4,30,4,0,12,9,9,4,4,1,5,1386.0
13000.0,6,2142.0,2,4,4,53,3,0,12,12,9,4,4,2,3,448.0
8250.0,6,1092.0,1,3,3,57,3,0,9,12,12,3,0,0,3,787.0
8170.0,7,1671.0,2,4,3,71,4,0,16,9,9,3,4,0,5,526.0
12048.0,5,1488.0,1,3,3,19,2,0,9,0,9,3,5,0,0,0.0
10858.0,5,1624.0,1,2,3,69,2,1,12,9,9,3,4,0,2,40.0
7577.0,6,1362.0,2,2,4,15,3,0,12,12,9,4,4,0,5,20.0
7500.0,7,1218.0,2,2,4,13,3,0,12,12,9,4,0,0,6,902.0
6120.0,6,1068.0,1,2,3,71,2,1,9,4,9,3,4,0,5,960.0
23580.0,6,1625.0,2,3,2,42,2,0,9,12,9,2,3,0,6,776.0
5306.0,7,1767.0,2,2,4,34,4,0,16,16,12,4,3,0,18,710.0
8092.0,6,1050.0,1,3,4,21,4,0,12,9,9,4,0,0,5,824.0
8593.0,4,907.0,1,3,3,64,1,0,9,9,9,3,0,0,3,288.0
11067.0,2,845.0,1,1,3,71,1,0,9,0,6,3,0,0,0,0.0
11929.0,8,2501.0,2,4,4,26,4,0,12,12,9,4,3,2,1,0.0
9900.0,5,1209.0,1,3,3,55,1,0,9,12,9,3,0,0,4,1059.0
4882.0,4,906.0,1,2,3,71,2,1,9,9,6,3,0,0,3,120.0
11423.0,8,1601.0,2,3,4,19,4,0,12,12,9,4,3,0,6,1358.0
8772.0,7,1336.0,2,3,4,15,3,0,12,12,9,4,0,0,6,996.0
7628.0,4,1656.0,2,2,3,36,1,0,12,9,9,3,0,0,1,0.0
8335.0,5,1124.0,1,3,3,67,1,0,9,0,0,3,4,0,0,0.0
8220.0,7,1892.0,2,3,3,20,3,0,12,12,9,3,3,2,6,544.0
10615.0,3,1699.0,2,3,3,51,1,1,9,6,4,6,0,0,4,440.0
6000.0,6,1416.0,1,3,3,71,3,0,9,9,9,3,0,1,3,300.0
5350.0,3,1306.0,1,3,2,55,1,0,3,9,0,2,0,0,1,0.0
5400.0,4,672.0,1,2,3,16,3,0,12,9,9,3,0,0,1,0.0
17979.0,5,1160.0,1,3,4,53,3,0,12,9,9,4,0,0,5,785.0
9520.0,4,930.0,1,2,3,68,1,0,9,12,9,3,0,0,3,767.0
5330.0,4,708.0,1,2,2,71,1,0,6,9,0,2,0,0,2,280.0
8012.0,6,1575.0,2,2,4,29,3,0,12,12,9,4,0,0,6,430.0
9000.0,5,1059.0,1,3,3,55,2,0,9,9,9,3,0,0,5,773.0
14299.0,4,1005.0,1,3,3,57,1,1,9,9,9,3,0,0,6,657.0
7050.0,7,1929.0,2,3,4,20,3,0,12,12,9,4,3,2,6,738.0
3180.0,7,1200.0,2,2,4,16,3,0,12,12,9,4,0,2,1,0.0
16451.0,8,2690.0,2,4,4,18,4,0,12,15,9,4,4,2,1,0.0
12887.0,5,833.0,1,2,4,37,2,0,9,12,9,4,0,0,18,797.0
15578.0,6,1456.0,2,3,3,15,3,0,12,12,9,3,0,2,1,0.0
7200.0,5,864.0,1,3,4,19,3,0,9,9,9,4,0,0,20,547.0
17043.0,6,1586.0,2,3,3,23,3,0,12,8,9,3,3,0,1,0.0
10000.0,5,1370.0,1,3,3,65,2,0,9,9,9,3,3,0,12,959.0
8050.0,6,914.0,1,2,4,19,2,0,9,12,0,4,0,0,30,772.0
3182.0,7,1555.0,2,2,4,15,3,0,12,12,9,4,3,0,6,16.0
1950.0,6,1556.0,2,3,3,41,3,0,12,12,9,3,3,2,12,693.0
7700.0,5,882.0,1,3,3,49,1,0,9,9,9,3,0,0,6,606.0
8731.0,5,1167.0,1,3,3,71,1,0,6,9,9,3,4,0,4,645.0
8232.0,9,1800.0,2,2,5,13,4,0,15,15,9,5,4,0,6,1204.0
2280.0,6,1456.0,2,3,4,46,2,0,9,9,9,4,3,2,5,514.0
8935.0,7,1660.0,2,3,4,19,3,0,12,12,9,4,0,2,1,0.0
9125.0,7,1482.0,2,3,4,29,2,0,9,12,9,4,3,2,1,0.0
11075.0,6,1522.0,2,3,3,37,2,0,9,12,9,3,3,0,8,1190.0
13438.0,9,2036.0,2,3,5,13,4,0,15,15,9,5,5,0,6,1758.0
11070.0,5,1595.0,2,2,3,30,1,0,9,12,9,3,0,0,4,55.0
7800.0,7,1686.0,2,3,4,16,3,0,12,12,9,4,0,2,1,0.0
7060.0,7,1344.0,2,2,3,23,3,0,12,16,9,6,0,0,6,1309.0
11836.0,5,1652.0,2,4,3,51,1,0,9,9,9,6,0,0,4,149.0
8382.0,4,1337.0,1,3,3,65,1,0,9,9,9,3,0,0,1,0.0
10192.0,7,1920.0,3,4,4,29,3,0,9,9,9,4,3,0,1,0.0
4426.0,6,848.0,1,1,4,17,3,0,12,12,9,4,0,0,6,662.0
2280.0,7,1055.0,2,2,3,46,2,0,9,12,9,3,2,0,10,1057.0
2887.0,6,1291.0,1,2,4,24,2,0,9,12,9,4,4,0,6,1003.0
8520.0,6,720.0,1,2,3,18,4,0,12,9,9,3,0,0,1,0.0
1596.0,4,988.0,1,2,3,48,1,0,9,12,9,3,0,0,6,462.0
15600.0,5,1523.0,2,3,2,16,1,0,9,9,9,2,3,0,12,819.0
9313.0,7,1728.0,2,3,4,17,3,0,12,12,9,4,0,2,1,0.0
11064.0,8,1239.0,1,1,4,26,4,0,12,12,9,4,2,1,12,1230.0
9000.0,5,1955.0,2,4,3,63,1,0,9,9,9,3,0,0,5,330.0
12000.0,7,1564.0,1,3,2,71,3,0,9,9,9,2,4,1,3,275.0
7692.0,4,1204.0,1,3,3,67,1,0,9,15,9,3,0,0,1,0.0
14267.0,6,1329.0,1,3,4,63,2,0,9,9,9,4,0,1,5,923.0
9675.0,5,879.0,1,3,3,46,2,0,9,9,9,3,0,0,12,762.0
8400.0,4,841.0,1,2,3,71,1,1,4,6,9,3,0,0,1,0.0
7500.0,6,1312.0,1,3,3,71,2,0,9,9,9,3,0,1,1,0.0
9600.0,6,2058.0,1,3,3,71,2,0,9,12,4,3,4,1,3,319.0
5814.0,8,1360.0,1,1,4,37,4,0,12,12,9,4,5,0,6,1036.0
14860.0,8,1786.0,2,3,4,18,4,0,12,15,9,4,4,0,6,1538.0
14803.0,6,1993.0,2,4,3,50,2,0,9,9,9,3,4,2,3,416.0
7550.0,4,1362.0,2,4,3,71,1,0,4,6,6,3,0,0,1,0.0
8125.0,7,1550.0,2,2,4,14,3,0,12,12,9,4,0,0,6,812.0
13673.0,5,1696.0,1,3,3,59,2,1,12,9,9,3,3,1,1,0.0
1533.0,4,1092.0,1,3,3,51,1,0,9,9,9,3,0,1,3,408.0
7658.0,9,1752.0,2,2,5,16,4,0,15,15,9,5,4,0,6,456.0
12292.0,9,2473.0,2,4,4,15,4,0,12,20,9,4,4,2,6,205.0
11923.0,9,1800.0,2,2,5,14,4,0,12,15,9,5,0,0,1,0.0
10010.0,7,2197.0,2,4,4,27,3,0,12,12,9,4,4,2,24,1080.0
12358.0,5,1382.0,1,2,3,71,2,1,9,9,9,3,0,1,3,360.0
8577.0,7,1733.0,2,3,4,17,3,0,12,12,9,4,4,2,1,0.0
8640.0,7,1402.0,2,3,4,13,3,0,12,12,9,4,0,0,1,0.0
10447.0,5,887.0,1,3,3,37,2,0,9,9,9,3,0,0,5,516.0
9600.0,5,1051.0,1,3,3,53,1,1,9,9,9,3,0,0,5,758.0
4899.0,6,1510.0,1,3,3,71,3,0,9,9,9,3,0,0,4,305.0
9246.0,5,1656.0,2,4,3,48,1,1,9,9,9,6,0,0,1,0.0
